File Name,Duration (ss),Fundamental Frequency (Hz),Mean Pitch (Hz),Pitch Sigma (Hz),Minimum Pitch (Hz),Maximum Pitch (Hz),No. of Pulses,No. of periods,Mean Period (ss),Standard Deviation of Period (ss),Fraction of Locally unvoiced frames (%),No. of voice breaks,Degree of voice breaks,Mean auto - correlation,Mean noise-to-harmonics ratio,Mean harmonics-to-noice ratio (dB),Peak Amplitude Channel 1  (dB),Peak Amplitude Channel 2  (dB),Bit Rate (kbs),Sample Rate (Hz),Resolution (bits),No of Samples,Size on memory  (kB),Size on disk (MB),Channels,Source
speaker2_31,61.01897917,309.88062,309.881,66.756,78.334,539.543,12841,12558,3.24E-03,7.96E-04,25.30%,161,30.56%,0.829894,0.248121,8.297,-5.05,-,1536,48000,16,2926592,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_32,61.69097917,311.138994,311.139,67.139,74.157,536.609,12707,12443,3.22E-03,7.69E-04,26.42%,165,31.71%,0.829067,0.247047,8.126,-3.12,-0.21,1536,48000,16,2959360,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_33,61.78697917,312.013698,312.014,68.669,98.416,565.867,12588,12312,3.22E-03,7.78E-04,28.44%,177,32.78%,0.820376,0.260235,7.821,-4.65,-,1536,48000,16,2963456,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_34,60.63497917,306.006745,306.007,68.788,75.688,536.464,12195,11925,3.27E-03,8.51E-04,27.99%,172,32.95%,0.81921,0.261829,7.771,-3.62,-,1536,48000,16,2908160,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_35,61.81097917,310.453098,310.453,61.137,80.358,535.958,12724,12439,3.23E-03,6.56E-04,27.76%,163,31.93%,0.820604,0.261608,7.874,-2.32,-0.07,1536,48000,16,2964480,307.46,1.42,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_36,62.60297917,310.541926,310.542,66.669,74.949,536.754,13442,13133,3.23E-03,7.38E-04,25.19%,178,30.06%,0.819356,0.264143,7.831,-4.64,-,1536,48000,16,3002368,307.46,1.43,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_37,60.70697917,305.678533,305.679,66.936,81.984,551.815,12167,11897,3.28E-03,8.18E-04,28.73%,178,32.96%,0.81947,0.261956,7.8,-4.03,-,1536,48000,16,2912256,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_38,63.03497917,304.110821,304.111,71.19,76.731,526.83,13030,12710,3.30E-03,8.85E-04,25.76%,174,31.01%,0.824665,0.256643,8.064,-4.06,-,1536,48000,16,3023872,307.46,1.44,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_39,60.77897917,309.584538,309.585,71.427,77.177,582.627,12385,12089,3.24E-03,7.91E-04,28.50%,172,32.88%,0.816447,0.269971,7.669,-5.21,-,1536,48000,16,2915328,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_40,61.52297917,304.461999,304.462,69.167,75.095,565.729,12575,12297,3.28E-03,8.76E-04,26.64%,172,31.52%,0.824998,0.252348,7.998,-4.73,-,1536,48000,16,2951168,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_41,60.87497917,304.648168,304.648,67.016,83.07,539.904,12506,12218,3.30E-03,8.22E-04,26.94%,165,31.32%,0.815098,0.273885,7.688,-5.27,-0.08,1536,48000,16,2919424,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_42,60.80297917,307.872696,307.873,71.487,77.361,573.899,11450,11175,3.26E-03,9.28E-04,31.46%,173,37.56%,0.803675,0.290088,7.212,-2.11,-0.18,1536,48000,16,2916352,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_43,62.05097917,305.729943,305.73,70.039,78.852,552.546,12163,11878,3.28E-03,8.76E-04,29.75%,175,34.06%,0.810408,0.279703,7.436,-5.66,-0.12,1536,48000,16,2975744,307.46,1.42,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_44,61.37897917,307.544848,307.545,65.728,76.091,559.273,11741,11483,3.26E-03,7.48E-04,32.49%,164,35.54%,0.825086,0.255092,8.117,-3.69,-,1536,48000,16,2944000,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_45,61.66697917,305.555827,305.556,66.436,77.676,557.793,12488,12195,3.28E-03,7.98E-04,27.70%,163,31.27%,0.808549,0.287806,7.545,-1.82,-0.27,1536,48000,16,2958336,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_46,60.89897917,312.900759,312.901,67.545,78.111,586.893,12623,12378,3.21E-03,8.07E-04,29.10%,147,31.79%,0.821183,0.263607,8.019,-3.02,-0.18,1536,48000,16,2920448,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_47,61.16297917,307.390954,307.391,66.452,75.792,592.053,12631,12370,3.27E-03,7.72E-04,27.29%,160,31.51%,0.823639,0.257867,8.12,-3.86,-,1536,48000,16,2933760,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_48,61.16297917,307.983781,307.984,65.926,77.447,597.497,12780,12543,3.26E-03,7.70E-04,27.71%,153,30.56%,0.826919,0.25253,8.233,-2.04,-,1536,48000,16,2933760,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_49,61.16297917,305.705831,305.706,66.294,76.413,585.712,12191,11913,3.28E-03,8.17E-04,29.49%,178,34.16%,0.821611,0.263608,8.086,-2.58,-0.19,1536,48000,16,2952192,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_50,61.01897917,311.859511,311.86,64.364,75.033,595.432,12957,12675,3.22E-03,7.08E-04,26.01%,158,30.53%,0.824865,0.256032,8.138,-3.62,-0.03,1536,48000,16,2926592,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_51,60.70697917,318.445727,318.446,74.84,73.818,588.074,12525,12252,3.15E-03,8.46E-04,30.77%,175,33.70%,0.826394,0.252222,8.14,-3.21,-0.05,1536,48000,16,2911232,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Kumari_Kandam
speaker2_52,61.78697917,312.671221,312.671,66.843,84.019,600.418,13409,13140,3.21E-03,7.17E-04,25.68%,146,28.16%,0.833565,0.247061,8.747,-4.19,-,1536,48000,16,2963456,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Lost_city
speaker2_53,61.78697917,308.820241,308.82,60.408,75.653,568.784,13244,12993,3.25E-03,7.11E-04,24.28%,145,27.98%,0.849129,0.220106,9.386,-6.61,-0.1,1536,48000,16,2931712,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Lost_city
speaker2_54,60.63497917,312.180654,312.181,65.448,76.719,594.804,13967,13717,3.22E-03,7.65E-04,21.78%,130,24.73%,0.847439,0.225084,9.476,-6.28,-,1536,48000,16,2908160,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Lost_city
